Date,Open,High,Low,Close
2019-07-04,0.08301,0.08301,0.07759,0.07777
2019-07-05,0.0778,0.07809,0.07603,0.07653
2019-07-06,0.07652,0.08029,0.07629,0.07734
2019-07-07,0.07735,0.08026,0.07698,0.07996
2019-07-08,0.07993,0.08226,0.079,0.08048
2019-07-09,0.08045,0.08082,0.07735,0.07799
2019-07-10,0.07801,0.07832,0.06983,0.07194
2019-07-11,0.07193,0.07201,0.06301,0.0652
2019-07-12,0.06518,0.07084,0.06362,0.06975
2019-07-13,0.06981,0.07092,0.06457,0.06677
2019-07-14,0.06679,0.06718,0.05937,0.05943
2019-07-15,0.05941,0.0603,0.0555,0.05954
2019-07-16,0.05952,0.06098,0.05082,0.05205
2019-07-17,0.05195,0.05791,0.05007,0.05524
2019-07-18,0.05523,0.05951,0.05356,0.05877
2019-07-19,0.05877,0.06081,0.05666,0.05979
2019-07-20,0.05981,0.06513,0.05963,0.06296
2019-07-21,0.06294,0.06421,0.05964,0.0612
2019-07-22,0.06121,0.06207,0.05826,0.05947
2019-07-23,0.05946,0.05956,0.0554,0.05581
2019-07-24,0.05581,0.05912,0.05403,0.05905
2019-07-25,0.05907,0.06057,0.05839,0.05866
2019-07-26,0.05868,0.06291,0.05706,0.06288
2019-07-27,0.06288,0.06368,0.0575,0.05987
2019-07-28,0.05988,0.06,0.05716,0.05947
2019-07-29,0.05938,0.06197,0.05841,0.06039
2019-07-30,0.06041,0.06118,0.05883,0.05994
2019-07-31,0.05994,0.06091,0.0594,0.06015
2019-08-01,0.06016,0.06029,0.05798,0.05887
2019-08-02,0.05886,0.05894,0.05665,0.05741
2019-08-03,0.05742,0.05836,0.05692,0.05776
2019-08-04,0.05777,0.05818,0.05619,0.05627
2019-08-05,0.05627,0.05836,0.05613,0.05668
2019-08-06,0.05665,0.05668,0.053,0.05337
2019-08-07,0.05337,0.05407,0.05144,0.05191
2019-08-08,0.05191,0.05293,0.05043,0.05197
2019-08-09,0.05191,0.05206,0.04747,0.04764
2019-08-10,0.04764,0.05314,0.04761,0.05198
2019-08-11,0.05199,0.05593,0.05195,0.05498
2019-08-12,0.0548,0.0548,0.05265,0.05294
2019-08-13,0.05293,0.05301,0.05001,0.05256
2019-08-14,0.05255,0.0535,0.04697,0.047
2019-08-15,0.04709,0.04802,0.0455,0.04752
2019-08-16,0.04754,0.04754,0.04486,0.04684
2019-08-17,0.04687,0.04804,0.04634,0.04739
2019-08-18,0.04742,0.05121,0.04705,0.05073
2019-08-19,0.05073,0.05081,0.04969,0.0503
2019-08-20,0.05025,0.05033,0.04884,0.04919
2019-08-21,0.04923,0.04923,0.04605,0.04711
2019-08-22,0.04715,0.05116,0.04674,0.04941
2019-08-23,0.04941,0.05027,0.0489,0.04979
2019-08-24,0.0498,0.05119,0.04831,0.05018
2019-08-25,0.05017,0.0526,0.04871,0.04944
2019-08-26,0.04945,0.05094,0.04889,0.0497
2019-08-27,0.04971,0.04995,0.04818,0.04984
2019-08-28,0.04986,0.05033,0.0457,0.04583
2019-08-29,0.04583,0.04583,0.0434,0.0447
2019-08-30,0.04472,0.04586,0.04425,0.04482
2019-08-31,0.04482,0.04558,0.04408,0.04499
2019-09-01,0.04495,0.04536,0.04373,0.04454
2019-09-02,0.04456,0.04611,0.04342,0.04536
2019-09-03,0.04538,0.0474,0.04479,0.04677
2019-09-04,0.04678,0.04679,0.04522,0.04552
2019-09-05,0.0455,0.04554,0.04396,0.04444
2019-09-06,0.04444,0.04476,0.04379,0.04442
2019-09-07,0.04443,0.04659,0.04385,0.0462
2019-09-08,0.04621,0.04765,0.04621,0.04672
2019-09-09,0.04671,0.04721,0.0455,0.04693
2019-09-10,0.0469,0.04814,0.04592,0.04651
2019-09-11,0.0465,0.04664,0.04459,0.04499
2019-09-12,0.04499,0.04641,0.04442,0.04545
2019-09-13,0.04546,0.0458,0.04496,0.04575
2019-09-14,0.04576,0.04709,0.04496,0.04652
