Date,Open,High,Low,Close
2019-07-04,303.02509,303.96115,282.76575,284.52322
2019-07-05,284.38092,293.92114,282.6947,287.99753
2019-07-06,287.89383,295.99142,286.66586,287.54712
2019-07-07,287.60361,310.13931,286.10919,305.70056
2019-07-08,305.73477,314.26788,303.50046,313.2514
2019-07-09,313.32516,318.22311,305.28583,308.88101
2019-07-10,308.85129,313.06946,285.5658,290.00232
2019-07-11,289.94598,290.02106,266.09467,268.70404
2019-07-12,268.69226,278.85559,268.00003,276.2767
2019-07-13,276.28912,276.68524,263.06827,269.4588
2019-07-14,269.28162,269.64124,227.26921,227.57806
2019-07-15,227.96506,235.02565,210.39127,229.776
2019-07-16,229.74866,234.51384,197.3779,199.18867
2019-07-17,199.06679,217.97563,193.99042,211.48497
2019-07-18,211.44461,229.2394,208.03773,226.56616
2019-07-19,226.6577,226.94048,215.83824,221.33342
2019-07-20,221.41266,234.19846,221.18948,229.11922
2019-07-21,229.16769,229.86166,219.02776,225.63077
2019-07-22,225.69865,226.86258,213.44838,217.56001
2019-07-23,217.56847,218.51805,209.63812,212.72852
2019-07-24,212.55382,217.53543,203.8934,217.04637
2019-07-25,216.96912,224.2542,216.13515,219.618
2019-07-26,219.62813,220.23639,214.12569,219.62961
2019-07-27,219.61763,223.51726,204.90393,207.40831
2019-07-28,207.41377,212.04184,202.2529,211.18655
2019-07-29,211.12366,213.93205,208.76431,211.26805
2019-07-30,211.3392,213.61407,206.86761,210.5226
2019-07-31,210.49242,218.65414,210.43791,218.65414
2019-08-01,218.5546,218.81265,212.91451,217.80844
2019-08-02,217.88446,222.18257,215.97583,217.87157
2019-08-03,217.89555,224.62323,217.33174,222.49034
2019-08-04,222.58081,224.22729,218.49217,222.66972
2019-08-05,222.65088,235.63528,222.60388,234.21503
2019-08-06,234.24559,239.11591,223.55118,226.02065
2019-08-07,225.92529,229.65657,222.77545,226.39101
2019-08-08,226.51848,226.77472,216.51625,220.94186
2019-08-09,220.90865,221.36433,208.24597,210.48891
2019-08-10,210.53017,213.73483,203.79311,206.73354
2019-08-11,206.73224,216.59865,206.5108,216.09286
2019-08-12,216.05591,216.14256,210.94649,211.28807
2019-08-13,211.3427,211.38441,205.4225,208.70905
2019-08-14,208.60399,209.06644,186.33192,186.60774
2019-08-15,186.6835,189.46216,178.14256,188.50206
2019-08-16,188.64426,188.90559,180.38484,185.44008
2019-08-17,185.53166,186.70314,182.59389,185.68768
2019-08-18,185.84109,197.52249,183.69225,194.49353
2019-08-19,194.55603,203.56015,193.10825,203.09193
2019-08-20,202.81314,203.01599,195.61954,196.56541
2019-08-21,196.62169,197.02744,182.68918,186.89163
2019-08-22,186.94124,194.41551,183.38452,191.33292
2019-08-23,191.10687,195.90649,189.56232,194.70621
2019-08-24,194.67163,194.78499,187.62726,191.28957
2019-08-25,191.23479,192.16333,184.96475,186.84239
2019-08-26,186.73555,193.44218,186.73555,188.92938
2019-08-27,188.95006,188.96318,185.47293,187.51666
2019-08-28,187.4955,187.93088,172.18561,173.88997
2019-08-29,173.95869,173.9964,167.1709,169.51674
2019-08-30,169.48929,170.77351,167.07141,168.83487
2019-08-31,168.88789,174.32397,167.80258,172.46979
2019-09-01,172.4584,173.69685,169.53128,171.62943
2019-09-02,171.6976,180.14522,170.45169,178.34735
2019-09-03,178.35776,182.34799,175.97017,179.49933
2019-09-04,179.49199,180.1366,175.32536,175.99289
2019-09-05,175.96628,176.16391,171.74683,174.21713
2019-09-06,174.17223,177.7187,168.34134,169.95618
2019-09-07,169.95528,180.85161,169.44412,178.26262
2019-09-08,178.28259,182.97708,178.1425,181.35553
2019-09-09,181.36249,184.14946,177.41936,181.14946
2019-09-10,181.21284,184.06343,178.12242,179.78717
2019-09-11,179.83949,181.75746,176.50092,178.72549
2019-09-12,178.80377,181.99857,177.84732,181.0161
2019-09-13,180.97559,181.49829,178.58205,181.10973
2019-09-14,181.32158,188.44693,180.37221,188.10551
2019-09-15,188.06844,190.39934,186.44733,189.78912
2019-09-16,189.68933,198.20497,189.68933,197.11317
2019-09-17,197.11476,213.73195,196.71548,208.60875
2019-09-18,208.0506,216.7115,208.0506,211.39304
2019-09-19,211.24724,222.87169,204.68578,221.28085
2019-09-20,221.06963,221.59856,215.15964,218.05005
2019-09-21,217.89738,220.9583,215.00017,215.5162
2019-09-22,215.48656,216.08624,207.64493,211.54538
2019-09-23,211.71321,211.84052,201.88724,201.92131
2019-09-24,201.84209,203.50055,162.72778,168.11073
2019-09-25,168.13358,174.71977,164.91348,170.8927
2019-09-26,170.75691,171.69264,157.13033,166.72713
2019-09-27,166.6517,175.61078,163.2095,174.711
2019-09-28,174.68083,175.77873,170.77396,174.57289
2019-09-29,174.61275,175.21022,166.9977,170.50348
